port,top_slack,tile_slack,slack_delta,driver_slack,receiver_slack,delay_split,available_time,driver_delay,receiver_delay,driver_efo,receiver_efo,efo_delta,route_ratio
p198,73.877693,61.588127,12.29,59.045959,2.542168,0.6657,194.92099,80.47229,40.415649,3.03,3.21,0.18,0.25
p199,52.003475,41.897054,10.11,39.128479,2.768575,0.7195,187.258148,92.726227,36.14917,4.85,2.04,2.81,0.22
p200,69.369606,58.996801,10.37,57.324905,1.671896,0.6801,193.956635,80.932159,38.066284,3.41,1.83,1.58,0.22
p201,69.276482,58.055324,11.22,58.71595,-0.660626,0.6769,193.335022,79.215576,37.804504,4.81,2.89,1.92,0.27
p202,85.643723,74.308265,11.34,73.612488,0.695777,0.6311,191.973907,63.446655,37.087585,1.99,2.12,0.13,0.3
p203,83.761551,73.219986,10.54,72.249634,0.970352,0.5983,191.752869,63.767212,42.80603,2,2.91,0.91,0.32
p204,67.896019,56.688521,11.21,56.303326,0.385195,0.6847,192.508392,81.290222,37.440063,5.32,2.38,2.94,0.27
p205,68.371368,55.598851,12.77,55.761833,-0.162982,0.6423,189.990265,79.313599,44.169617,4.78,2.07,2.71,0.27
p206,62.667637,52.133823,10.53,53.541626,-1.407803,0.6414,191.009491,81.379181,45.490784,3.24,2.99,0.25,0.27
p207,59.523613,36.069027,23.45,54.387745,-18.318718,0.5684,190.319763,80.688751,61.25647,2.79,2.76,0.03,0.37
p208,56.743279,46.209849,10.53,51.482346,-5.272497,0.6251,191.958802,83.277924,49.943726,5.45,1.63,3.82,0.29
p209,72.096077,61.172465,10.92,68.454018,-7.281553,0.5586,197.417786,66.437164,52.491211,2.32,2.11,0.21,0.39
p210,59.176376,47.981165,11.2,67.649727,-19.668562,0.519,197.068146,66.891846,61.991455,2.24,2.42,0.18,0.43
p211,64.2724,51.136471,13.14,56.192478,-5.056007,0.6078,197.066102,78.347076,50.545776,4.65,2.22,2.43,0.29
p212,72.895058,62.070858,10.82,66.982697,-4.911839,0.6087,190.06018,67.483795,43.377869,2.2,2.09,0.11,0.34
p213,-10.031885,-21.880413,11.85,1.98313,-23.863543,0.4185,149.525634,65.630554,91.201904,2.42,2.4,0.02,0.29
p214,34.681938,24.225894,10.46,18.627552,5.598342,0.7207,184.431366,102.65744,39.784241,3.09,2.5,0.59,0.25
p215,39.880692,27.426767,12.45,19.347408,8.079359,0.7478,184.912415,102.439117,34.539124,4.07,2.69,1.38,0.29
p216,43.135838,32.198629,10.94,23.367641,8.830988,0.7448,185.047271,98.543884,33.767212,4.16,2.31,1.85,0.27
p217,39.810532,29.651742,10.16,23.230305,6.421437,0.7152,184.041748,98.433746,39.190369,4.65,3.39,1.26,0.23
p218,46.761696,35.23522,11.53,25.694923,9.540297,0.7393,183.923828,95.820068,33.787354,4.2,2.64,1.56,0.25
p219,46.810776,31.962503,14.85,26.453865,5.508638,0.6987,184.070831,95.208099,41.054138,4.21,1.85,2.36,0.23
p220,41.109047,30.486828,10.62,23.026352,7.460476,0.7335,183.758362,98.323181,35.727051,4.47,2.61,1.86,0.25
p221,38.095047,27.497263,10.6,17.92132,9.575943,0.7465,184.020294,103.3526,35.09491,4.57,2.73,1.84,0.26
p222,43.002579,32.348814,10.65,23.920012,8.428802,0.7219,184.012085,97.345978,37.505737,4.25,2.96,1.29,0.25
p223,47.273388,34.219944,13.05,25.717281,8.502663,0.7323,184.169006,95.705292,34.98053,3.99,2.46,1.53,0.26
p224,51.017467,40.685504,10.33,32.080547,8.604957,0.7119,186.72406,91.897247,37.182434,4.05,2.99,1.06,0.24
p225,43.206844,29.735235,13.47,20.683611,9.051624,0.7399,191.176361,103.227966,36.292236,3.82,2.59,1.23,0.24
p226,40.401192,28.965939,11.44,21.04566,7.920279,0.74,187.249787,102.950775,36.166016,5.54,2.83,2.71,0.24
p227,41.016426,29.504041,11.51,21.302153,8.201888,0.7413,187.327912,102.772308,35.865356,5.6,2.73,2.87,0.23
p228,41.062019,30.961309,10.1,23.303722,7.657587,0.7261,188.08017,101.887054,38.425781,4.28,2.93,1.35,0.27
p229,48.840813,37.939108,10.9,30.152702,7.786406,0.7199,190.699341,94.752716,36.872192,4.05,2.64,1.41,0.26
p230,45.299625,34.206107,11.09,28.837622,5.368485,0.6923,191.982666,95.841797,42.600403,4.33,1.94,2.39,0.24
p231,46.72015,34.652494,12.07,28.072483,6.580011,0.7039,187.863861,96.724365,40.679138,4.45,2.37,2.08,0.23
p232,44.63858,32.335938,12.3,23.376926,8.959012,0.729,187.598969,101.154907,37.59613,4.1,2.85,1.25,0.27
p233,41.759411,31.613633,10.15,24.636471,6.977162,0.7165,186.760101,99.377045,39.322998,4.88,2.67,2.21,0.25
p234,36.106918,25.932271,10.17,19.886122,6.046149,0.7249,187.067108,104.434418,39.624817,4.15,3.13,1.02,0.29
p235,11.876248,25.448838,13.57,-15.291496,40.740334,0.5873,179.989227,93.212341,65.508606,2.09,2.37,0.28,0.45
p236,0.645598,14.550903,13.91,-23.233223,37.784126,0.5924,179.741669,100.920013,69.432251,1.85,2.3,0.45,0.42
p237,-15.327648,-2.355633,12.97,-32.320957,29.965324,0.5953,179.741669,110.007965,74.800171,1.79,4.33,2.54,0.39
p238,-12.579206,1.994041,14.57,-5.791124,7.785165,0.4324,173.197815,74.617645,97.939148,3.38,3.79,0.41,0.33
p239,59.459656,48.618549,10.84,10.320034,38.298515,0.6661,189.422302,84.177521,42.18689,2.25,3.79,1.54,0.25
p240,42.842312,31.311467,11.53,11.367936,19.943531,0.5868,189.49704,83.081421,58.491089,2.23,3.38,1.15,0.22
p241,47.135128,34.781518,12.35,8.022801,26.758717,0.6271,189.578034,86.507629,51.442261,2.25,2.87,0.62,0.24
p242,37.816467,19.941417,17.88,9.579492,10.361925,0.555,189.525818,84.898712,68.059082,2.23,2.19,0.04,0.21
p243,34.716278,20.800472,13.92,8.224596,12.575876,0.5678,189.591401,86.319092,65.700562,2.37,2.53,0.16,0.22
p244,56.785019,45.921347,10.86,25.729069,20.192278,0.8021,195.754516,111.088593,27.409668,6.97,7.53,0.56,0.25
p245,40.603992,29.222431,11.38,11.981411,17.24102,0.8072,195.555603,124.802368,29.81543,7.51,5.56,1.95,0.23
p246,-3.960125,14.432066,18.39,-27.649805,42.081871,0.6313,175.328735,105.570557,61.666565,1.89,2.2,0.31,0.42
p247,10.429019,23.463104,13.03,-21.461632,44.924736,0.6253,175.081177,99.148468,59.405945,1.99,2.04,0.05,0.42
