Port,Constraint,Budget,Edge,Clock,Slack,AvailTime,Exception
input[19],set_input_delay,0.903,fall,_INN_superClk_v0_setuphold,0.225,-0.930,
input[19],set_input_delay,0.962,rise,clk_v0_setuphold,0.442,-0.899,
input[19],set_input_delay,0.956,fall,clk_v0_setuphold,0.572,-0.930,
input[18],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.136,-0.898,
input[18],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.233,-0.936,
input[18],set_input_delay,0.960,rise,clk_v0_setuphold,0.449,-0.898,
input[18],set_input_delay,0.953,fall,clk_v0_setuphold,0.575,-0.936,
input[17],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.127,-0.899,
input[17],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.225,-0.931,
input[17],set_input_delay,0.961,rise,clk_v0_setuphold,0.437,-0.899,
input[17],set_input_delay,0.955,fall,clk_v0_setuphold,0.560,-0.931,
input[16],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.118,-0.899,
input[16],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.210,-0.930,
input[16],set_input_delay,0.963,rise,clk_v0_setuphold,0.446,-0.899,
input[16],set_input_delay,0.956,fall,clk_v0_setuphold,0.545,-0.930,
input[15],set_input_delay,0.893,rise,_INN_superClk_v0_setuphold,0.135,-0.899,
input[15],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.232,-0.931,
input[15],set_input_delay,0.955,rise,clk_v0_setuphold,0.416,-0.899,
input[15],set_input_delay,0.952,fall,clk_v0_setuphold,0.515,-0.931,
input[14],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.121,-0.899,
input[14],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.212,-0.930,
input[14],set_input_delay,0.956,rise,clk_v0_setuphold,0.409,-0.899,
input[14],set_input_delay,0.954,fall,clk_v0_setuphold,0.483,-0.930,
input[13],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.122,-0.899,
input[13],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.217,-0.931,
input[13],set_input_delay,0.952,rise,clk_v0_setuphold,0.396,-0.899,
input[13],set_input_delay,0.953,fall,clk_v0_setuphold,0.471,-0.931,
input[12],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.128,-0.899,
input[12],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.221,-0.932,
input[12],set_input_delay,0.955,rise,clk_v0_setuphold,0.414,-0.899,
input[12],set_input_delay,0.954,fall,clk_v0_setuphold,0.524,-0.932,
input[11],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.117,-0.899,
input[11],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.209,-0.928,
input[11],set_input_delay,0.956,rise,clk_v0_setuphold,0.409,-0.899,
input[11],set_input_delay,0.955,fall,clk_v0_setuphold,0.513,-0.928,
input[10],set_input_delay,0.894,rise,_INN_superClk_v0_setuphold,0.134,-0.899,
input[10],set_input_delay,0.906,fall,_INN_superClk_v0_setuphold,0.236,-0.931,
input[10],set_input_delay,0.956,rise,clk_v0_setuphold,0.415,-0.899,
input[10],set_input_delay,0.954,fall,clk_v0_setuphold,0.496,-0.931,
input[9],set_input_delay,0.895,rise,_INN_superClk_v0_setuphold,0.136,-0.899,
input[9],set_input_delay,0.903,fall,_INN_superClk_v0_setuphold,0.221,-0.930,
input[9],set_input_delay,0.956,rise,clk_v0_setuphold,0.412,-0.899,
input[9],set_input_delay,0.955,fall,clk_v0_setuphold,0.522,-0.930,
input[8],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.121,-0.899,
input[8],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.215,-0.928,
input[8],set_input_delay,0.956,rise,clk_v0_setuphold,0.413,-0.899,
input[8],set_input_delay,0.953,fall,clk_v0_setuphold,0.478,-0.928,
input[7],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.120,-0.899,
input[7],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.212,-0.929,
input[7],set_input_delay,0.954,rise,clk_v0_setuphold,0.402,-0.899,
input[7],set_input_delay,0.955,fall,clk_v0_setuphold,0.505,-0.929,
input[6],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.132,-0.899,
input[6],set_input_delay,0.903,fall,_INN_superClk_v0_setuphold,0.225,-0.932,
input[6],set_input_delay,0.962,rise,clk_v0_setuphold,0.443,-0.899,
input[6],set_input_delay,0.954,fall,clk_v0_setuphold,0.509,-0.932,
input[5],set_input_delay,0.894,rise,_INN_superClk_v0_setuphold,0.138,-0.899,
input[5],set_input_delay,0.904,fall,_INN_superClk_v0_setuphold,0.233,-0.933,
input[5],set_input_delay,0.953,rise,clk_v0_setuphold,0.406,-0.899,
input[5],set_input_delay,0.954,fall,clk_v0_setuphold,0.530,-0.933,
input[4],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.123,-0.899,
input[4],set_input_delay,0.900,fall,_INN_superClk_v0_setuphold,0.214,-0.930,
input[4],set_input_delay,0.956,rise,clk_v0_setuphold,0.415,-0.899,
input[4],set_input_delay,0.953,fall,clk_v0_setuphold,0.487,-0.930,
input[3],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.127,-0.899,
input[3],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.215,-0.930,
input[3],set_input_delay,0.957,rise,clk_v0_setuphold,0.418,-0.899,
input[3],set_input_delay,0.955,fall,clk_v0_setuphold,0.510,-0.930,
input[2],set_input_delay,0.893,rise,_INN_superClk_v0_setuphold,0.130,-0.899,
input[2],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.219,-0.931,
input[2],set_input_delay,0.955,rise,clk_v0_setuphold,0.409,-0.899,
input[2],set_input_delay,0.954,fall,clk_v0_setuphold,0.512,-0.931,
input[1],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.118,-0.899,
input[1],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.211,-0.930,
input[1],set_input_delay,0.960,rise,clk_v0_setuphold,0.423,-0.899,
input[1],set_input_delay,0.954,fall,clk_v0_setuphold,0.487,-0.930,
input[0],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.138,-0.899,
input[0],set_input_delay,0.903,fall,_INN_superClk_v0_setuphold,0.240,-0.935,
input[0],set_input_delay,0.954,rise,clk_v0_setuphold,0.415,-0.899,
input[0],set_input_delay,0.952,fall,clk_v0_setuphold,0.546,-0.935,
enable,set_input_delay,0.035,rise,clk_v0_setuphold,0.545,-0.014,
enable,set_input_delay,0.028,fall,clk_v0_setuphold,0.531,-0.014,
reset,set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.043,0.307,
output[63],set_output_delay,1.177,rise,clk_v0_setuphold,0.439,-0.899,
output[63],set_output_delay,1.176,fall,clk_v0_setuphold,0.430,-0.899,
output[62],set_output_delay,1.192,rise,clk_v0_setuphold,0.462,-0.899,
output[62],set_output_delay,1.190,fall,clk_v0_setuphold,0.449,-0.899,
output[61],set_output_delay,1.179,rise,clk_v0_setuphold,0.456,-0.899,
output[61],set_output_delay,1.176,fall,clk_v0_setuphold,0.440,-0.899,
output[60],set_output_delay,1.155,rise,clk_v0_setuphold,0.432,-0.899,
output[60],set_output_delay,1.152,fall,clk_v0_setuphold,0.416,-0.899,
output[59],set_output_delay,1.173,rise,clk_v0_setuphold,0.458,-0.899,
output[59],set_output_delay,1.169,fall,clk_v0_setuphold,0.442,-0.899,
output[58],set_output_delay,1.211,rise,clk_v0_setuphold,0.472,-0.899,
output[58],set_output_delay,1.208,fall,clk_v0_setuphold,0.462,-0.899,
output[57],set_output_delay,1.250,rise,clk_v0_setuphold,0.516,-0.899,
output[57],set_output_delay,1.247,fall,clk_v0_setuphold,0.504,-0.899,
output[56],set_output_delay,1.146,rise,clk_v0_setuphold,0.427,-0.899,
output[56],set_output_delay,1.142,fall,clk_v0_setuphold,0.409,-0.899,
output[55],set_output_delay,1.178,rise,clk_v0_setuphold,0.445,-0.899,
output[55],set_output_delay,1.175,fall,clk_v0_setuphold,0.433,-0.899,
output[54],set_output_delay,1.226,rise,clk_v0_setuphold,0.498,-0.899,
output[54],set_output_delay,1.223,fall,clk_v0_setuphold,0.484,-0.899,
output[53],set_output_delay,1.207,rise,clk_v0_setuphold,0.470,-0.899,
output[53],set_output_delay,1.205,fall,clk_v0_setuphold,0.459,-0.899,
output[52],set_output_delay,1.144,rise,clk_v0_setuphold,0.405,-0.899,
output[52],set_output_delay,1.142,fall,clk_v0_setuphold,0.396,-0.899,
output[51],set_output_delay,1.214,rise,clk_v0_setuphold,0.490,-0.899,
output[51],set_output_delay,1.211,fall,clk_v0_setuphold,0.474,-0.899,
output[50],set_output_delay,1.208,rise,clk_v0_setuphold,0.479,-0.899,
output[50],set_output_delay,1.205,fall,clk_v0_setuphold,0.465,-0.899,
output[49],set_output_delay,1.209,rise,clk_v0_setuphold,0.470,-0.899,
output[49],set_output_delay,1.207,fall,clk_v0_setuphold,0.460,-0.899,
output[48],set_output_delay,1.152,rise,clk_v0_setuphold,0.430,-0.899,
output[48],set_output_delay,1.149,fall,clk_v0_setuphold,0.414,-0.899,
output[47],set_output_delay,1.195,rise,clk_v0_setuphold,0.462,-0.899,
output[47],set_output_delay,1.192,fall,clk_v0_setuphold,0.450,-0.899,
