Port,Constraint,Budget,Edge,Clock,Slack,AvailTime,Exception
input0[15],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.115,-0.899,
input0[15],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.209,-0.928,
input0[14],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.125,-0.899,
input0[14],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.216,-0.931,
input0[13],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.127,-0.899,
input0[13],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.215,-0.930,
input0[12],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.120,-0.899,
input0[12],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.212,-0.928,
input0[11],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.115,-0.899,
input0[11],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.207,-0.929,
input0[10],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.131,-0.899,
input0[10],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.219,-0.929,
input0[9],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.138,-0.899,
input0[9],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.236,-0.933,
input0[8],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.132,-0.898,
input0[8],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.228,-0.936,
input0[7],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.118,-0.899,
input0[7],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.215,-0.928,
input0[6],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.127,-0.899,
input0[6],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.220,-0.929,
input0[5],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.119,-0.899,
input0[5],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.211,-0.929,
